c_eps,regime,method,Gamma,X,pi_treat_avg
1.0,uncap,IPW-O-W,3,0.3333,1.0
1.0,uncap,IPW-O-W,3,0.6667,0.9315
1.0,uncap,IPW-O-W,3,1.0,1.0
1.0,uncap,IPW-O-W,4,-1.0,0.0
1.0,uncap,IPW-O-W,4,-0.6667,0.0
1.0,uncap,IPW-O-W,4,-0.3333,0.3741
1.0,uncap,IPW-O-W,4,0.0,0.7454
1.0,uncap,IPW-O-W,4,0.3333,1.0
1.0,uncap,IPW-O-W,4,0.6667,0.9314
1.0,uncap,IPW-O-W,4,1.0,1.0
1.0,uncap,IPW-O-W,5,-1.0,0.0
1.0,uncap,IPW-O-W,5,-0.6667,0.0
1.0,uncap,IPW-O-W,5,-0.3333,0.3372
1.0,uncap,IPW-O-W,5,0.0,0.6574
1.0,uncap,IPW-O-W,5,0.3333,1.0
1.0,uncap,IPW-O-W,5,0.6667,0.9325
1.0,uncap,IPW-O-W,5,1.0,1.0
1.0,uncap,IPW-O-W,6,-1.0,0.0
1.0,uncap,IPW-O-W,6,-0.6667,0.0
1.0,uncap,IPW-O-W,6,-0.3333,0.3437
1.0,uncap,IPW-O-W,6,0.0,0.6545
1.0,uncap,IPW-O-W,6,0.3333,1.0
1.0,uncap,IPW-O-W,6,0.6667,0.8974
1.0,uncap,IPW-O-W,6,1.0,1.0
1.0,uncap,IPW-O-W,8,-1.0,0.0
1.0,uncap,IPW-O-W,8,-0.6667,0.0
1.0,uncap,IPW-O-W,8,-0.3333,0.3389
1.0,uncap,IPW-O-W,8,0.0,0.6512
1.0,uncap,IPW-O-W,8,0.3333,1.0
1.0,uncap,IPW-O-W,8,0.6667,0.8956
1.0,uncap,IPW-O-W,8,1.0,1.0
1.0,uncap,DoublyRobust-O-W,1,-1.0,0.0
1.0,uncap,DoublyRobust-O-W,1,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,1,-0.3333,0.75
1.0,uncap,DoublyRobust-O-W,1,0.0,1.0
1.0,uncap,DoublyRobust-O-W,1,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,1,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,1,1.0,1.0
1.0,uncap,DoublyRobust-O-W,1.5,-1.0,0.0
1.0,uncap,DoublyRobust-O-W,1.5,-0.6667,0.0
1.0,uncap,DoublyRobust-O-W,1.5,-0.3333,0.6876
1.0,uncap,DoublyRobust-O-W,1.5,0.0,1.0
1.0,uncap,DoublyRobust-O-W,1.5,0.3333,1.0
1.0,uncap,DoublyRobust-O-W,1.5,0.6667,1.0
1.0,uncap,DoublyRobust-O-W,1.5,1.0,1.0
1.0,uncap,DoublyRobust-O-W,2,-1.0,0.0
