dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,1.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,2.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,2.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,3.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,4.0,0.7291,0.2756
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,5.0,0.7291,0.2756
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,6.0,0.7291,0.2756
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-X,8.0,0.7291,0.2756
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,1.5,0.165,0.2553
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,2.0,0.0046,0.0096
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,2.5,-0.0073,0.0158
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Hajek-O-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,1.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,2.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,2.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,3.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,4.0,0.8291,0.0111
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,5.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,6.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-W,8.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-W,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-W,1.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-W,2.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-W,2.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-W,3.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-W,4.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-O-W,5.0,0.8333,0.0
