dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,2.0,0.7032,0.2863
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,2.5,0.4458,0.2435
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,3.0,0.3799,0.1436
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,4.0,0.3256,0.188
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,5.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,6.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,8.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-O-X,1.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-O-X,1.5,1.0101,0.0332
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-O-X,2.0,0.832,0.1339
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-O-X,2.5,0.7165,0.1269
